t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
4613425,0.007,-0.000,-0.000,-0.002,-0.002,-0.017,0.002,-0.001,-0.210,0.070,9.842
4621373,0.014,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.002,-0.217,0.074,9.857
4629321,0.019,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.207,0.076,9.841
4637266,0.019,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.220,0.092,9.841
4645216,0.016,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.224,0.094,9.836
4653167,0.011,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.218,0.084,9.843
4661111,0.011,-0.000,-0.000,0.000,0.000,-0.018,0.003,-0.001,-0.234,0.087,9.845
4669058,0.008,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.000,-0.240,0.091,9.840
4677006,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.000,-0.249,0.104,9.841
4684940,0.004,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.246,0.100,9.826
4692887,0.003,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.000,-0.241,0.097,9.852
4700846,0.005,0.000,-0.000,0.001,0.000,-0.016,0.005,-0.000,-0.247,0.104,9.845
4708794,0.009,0.000,-0.000,0.000,0.000,-0.016,0.005,-0.001,-0.246,0.106,9.850
4716741,0.013,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.250,0.108,9.845
4724688,0.009,0.000,-0.000,0.003,0.000,-0.017,0.005,-0.001,-0.232,0.095,9.865
4732634,0.006,0.000,-0.000,0.000,0.000,-0.017,0.005,-0.001,-0.232,0.100,9.860
4740581,0.007,0.000,-0.000,0.000,0.000,-0.017,0.005,-0.001,-0.242,0.100,9.838
4748530,0.008,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.002,-0.237,0.113,9.836
4756478,0.009,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.002,-0.224,0.103,9.847
4764424,0.006,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.234,0.107,9.834
4772372,0.004,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.223,0.093,9.813
4780316,0.006,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.211,0.090,9.848
4788265,0.007,0.000,-0.000,0.000,0.000,-0.015,0.003,-0.001,-0.220,0.093,9.815
4796213,0.011,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.214,0.088,9.851
4804159,0.017,-0.000,-0.000,-0.005,-0.005,-0.016,0.004,-0.001,-0.220,0.086,9.829
4812107,0.015,-0.001,-0.001,0.000,0.000,-0.016,0.004,-0.002,-0.241,0.098,9.828
4820053,0.016,-0.001,-0.001,0.000,0.000,-0.016,0.004,-0.002,-0.228,0.098,9.839
4827999,0.014,-0.000,-0.001,0.004,0.000,-0.016,0.004,-0.002,-0.226,0.099,9.826
4835953,0.010,0.000,-0.001,0.000,0.000,-0.015,0.003,-0.001,-0.216,0.084,9.805
4843894,0.007,0.000,-0.000,0.000,0.000,-0.015,0.003,-0.001,-0.230,0.102,9.834
4851842,0.005,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.245,0.105,9.861
4859789,0.006,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.000,-0.225,0.097,9.846
4867735,0.005,0.000,-0.000,0.001,0.000,-0.017,0.003,-0.001,-0.237,0.117,9.849
4875682,0.003,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.236,0.110,9.830
4883620,0.002,0.000,-0.000,-0.001,0.000,-0.016,0.003,-0.001,-0.230,0.105,9.846
